0.000;0.000;-0.000n
0.000;0.022;-0.000n
0.000;0.043;-0.000n
0.000;0.065;-0.000n
0.000;0.086;-0.000n
0.000;0.108;-0.000n
0.000;0.129;-0.000n
0.000;0.151;-0.000n
0.000;0.172;-0.000n
0.000;0.194;-0.000n
0.000;0.216;-0.000n
0.000;0.237;-0.000n
0.000;0.259;-0.000n
0.000;0.280;-0.000n
0.000;0.302;-0.000n
0.000;0.323;-0.000n
0.000;0.345;-0.000n
0.000;0.366;-0.000n
0.000;0.388;-0.000n
0.000;0.409;-0.000n
0.000;0.431;-0.000n
0.000;0.453;-0.000n
0.000;0.474;-0.000n
0.000;0.496;-0.000n
0.000;0.517;-0.000n
0.000;0.539;-0.000n
0.000;0.560;-0.000n
0.000;0.582;-0.000n
0.000;0.603;-0.000n
0.000;0.625;-0.000n
0.000;0.647;-0.000n
0.000;0.668;-0.000n
0.000;0.690;-0.000n
0.000;0.711;-0.000n
0.000;0.733;-0.000n
0.000;0.754;-0.000n
0.000;0.776;-0.000n
0.000;0.797;-0.000n
0.000;0.819;-0.000n
0.000;0.841;-0.000n
0.000;0.862;-0.000n
0.000;0.884;-0.000n
0.000;0.905;-0.000n
0.000;0.927;-0.000n
0.000;0.948;-0.000n
0.000;0.970;-0.000n
0.000;0.991;-0.000n
0.000;1.013;-0.000n
0.000;1.034;-0.000n
0.000;1.056;-0.000n
0.000;1.078;-0.000n
0.000;1.099;-0.000n
0.000;1.121;-0.000n
0.000;1.142;-0.000n
0.000;1.164;-0.000n
0.000;1.185;-0.000n
0.000;1.207;-0.000n
0.000;1.228;-0.000n
0.000;1.250;-0.000n
0.000;1.272;-0.000n
0.000;1.293;-0.000n
0.000;1.315;-0.000n
0.000;1.336;-0.000n
0.000;1.358;-0.000n
0.000;1.379;-0.000n
0.000;1.401;-0.000n
0.000;1.422;-0.000n
0.000;1.444;-0.000n
0.000;1.466;-0.000n
0.000;1.487;-0.000n
0.000;1.509;-0.000n
0.000;1.530;-0.000n
0.000;1.552;-0.000n
0.000;1.573;-0.000n
0.000;1.595;-0.000n
0.000;1.616;-0.000n
0.000;1.638;-0.000n
0.000;1.659;-0.000n
0.000;1.681;-0.000n
0.000;1.703;-0.000n
0.000;1.724;-0.000n
0.000;1.746;-0.000n
0.000;1.767;-0.000n
0.000;1.789;-0.000n
0.000;1.810;-0.000n
0.000;1.832;-0.000n
0.000;1.853;-0.000n
0.000;1.875;-0.000n
0.000;1.897;-0.000n
0.000;1.918;-0.000n
0.000;1.940;-0.000n
0.000;1.961;-0.000n
0.000;1.983;-0.000n
0.000;2.004;-0.000n
0.000;2.026;-0.000n
0.000;2.047;-0.000n
0.000;2.069;-0.000n
0.000;2.091;-0.000n
0.000;2.112;-0.000n
0.000;2.134;-0.000n
0.000;2.155;-0.000n
0.000;2.177;-0.000n
0.000;2.198;-0.000n
0.000;2.220;-0.000n
0.000;2.241;-0.000n
0.000;2.263;-0.000n
0.000;2.284;-0.000n
0.000;2.306;-0.000n
0.000;2.328;-0.000n
0.000;2.349;-0.000n
0.000;2.371;-0.000n
0.000;2.392;-0.000n
0.000;2.414;-0.000n
0.000;2.435;-0.000n
0.000;2.457;-0.000n
0.000;2.478;-0.000n
0.000;2.500;-0.000n
0.000;2.522;-0.000n
0.000;2.543;-0.000n
0.000;2.565;-0.000n
0.000;2.586;-0.000n
0.000;2.608;-0.000n
0.000;2.629;-0.000n
0.000;2.651;-0.000n
0.000;2.672;-0.000n
0.000;2.694;-0.000n
0.000;2.716;-0.000n
0.000;2.737;-0.000n
0.000;2.759;-0.000n
0.000;2.780;-0.000n
0.000;2.802;-0.000n
0.000;2.823;-0.000n
0.000;2.845;-0.000n
0.000;2.866;-0.000n
0.000;2.888;-0.000n
0.000;2.909;-0.000n
0.000;2.931;-0.000n
0.000;2.953;-0.000n
0.000;2.974;-0.000n
0.000;2.996;-0.000n
0.000;3.017;-0.000n
0.000;3.039;-0.000n
0.000;3.060;-0.000n
0.000;3.082;-0.000n
0.000;3.103;-0.000n
0.000;3.125;-0.000n
0.000;3.147;-0.000n
0.000;3.168;-0.000n
0.000;3.190;-0.000n
0.000;3.211;-0.000n
0.000;3.233;-0.000n
0.000;3.254;-0.000n
0.000;3.276;-0.000n
0.000;3.297;-0.000n
0.000;3.319;-0.000n
0.000;3.341;-0.000n
0.000;3.362;-0.000n
0.000;3.384;-0.000n
0.000;3.405;-0.000n
0.000;3.427;-0.000n
0.000;3.448;-0.000n
0.000;3.470;-0.000n
0.000;3.491;-0.000n
0.000;3.513;-0.000n
0.000;3.534;-0.000n
0.000;3.556;-0.000n
0.000;3.578;-0.000n
0.000;3.599;-0.000n
0.000;3.621;-0.000n
0.000;3.642;-0.000n
0.000;3.664;-0.000n
0.000;3.685;-0.000n
0.000;3.707;-0.000n
0.000;3.728;-0.000n
0.000;3.750;-0.000n
0.000;3.772;-0.000n
0.000;3.793;-0.000n
0.000;3.815;-0.000n
0.000;3.836;-0.000n
0.000;3.858;-0.000n
0.000;3.879;-0.000n
0.000;3.901;-0.000n
0.000;3.922;-0.000n
0.000;3.944;-0.000n
0.000;3.966;-0.000n
0.000;3.987;-0.000n
0.000;4.009;-0.000n
0.000;4.030;-0.000n
0.000;4.052;-0.000n
0.000;4.073;-0.000n
0.000;4.095;-0.000n
0.000;4.116;-0.000n
0.000;4.138;-0.000n
